,name,split,train_A,train_B,train_C,train_D,val,sensitive,train_S
0,bump_484-18-0.002_87.639_5.000_0_0_12,train,True,True,True,True,False,False,True
1,bump_415-16-0.006_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
2,bump_544-11-0.001_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
3,bump_463-10-0.006_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
4,bump_508-14-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
5,bump_551-17-0.004_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
6,bump_132-14-0.006_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
7,bump_355-16-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
8,bump_175-16-0.006_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
9,bump_474-18-0.006_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
10,bump_21-24-0.002_87.639_5.000_0_0_12,train,False,True,True,True,False,True,True
11,bump_103-19-0.005_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
12,bump_337-25-0.007_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
13,bump_522-10-0.002_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
14,bump_77-20-0.008_87.639_5.000_0_0_12,train,True,True,True,True,False,False,True
15,bump_381-20-0.006_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
16,bump_116-18-0.004_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
17,bump_370-24-0.001_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
18,bump_127-25-0.005_87.639_5.000_0_0_12,train,True,True,True,True,False,False,False
19,bump_339-10-0.006_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
20,bump_464-13-0.007_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
21,bump_367-18-0.005_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
22,bump_395-15-0.002_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
23,bump_447-16-0.005_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
24,bump_3-25-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,True,True
25,bump_362-13-0.006_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
26,bump_6-17-0.005_87.639_5.000_0_0_12,test,False,False,False,False,False,True,False
27,bump_359-22-0.007_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
28,bump_436-21-0.003_87.639_5.000_0_0_12,train,True,True,True,True,False,False,True
29,bump_419-18-0.001_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
30,bump_344-17-0.002_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
31,bump_31-19-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
32,bump_365-18-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
33,bump_377-19-0.005_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
34,bump_465-22-0.003_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
35,bump_394-25-0.001_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
36,bump_428-23-0.003_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
37,bump_236-16-0.001_87.639_5.000_0_0_12,train,True,True,True,True,False,False,False
38,bump_391-17-0.003_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
39,bump_438-11-0.008_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
40,bump_565-15-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
41,bump_171-14-0.003_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
42,bump_471-23-0.003_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
43,bump_109-24-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
44,bump_124-16-0.005_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
45,bump_501-15-0.007_87.639_5.000_0_0_12,train,True,True,True,True,False,False,False
46,bump_382-11-0.008_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
47,bump_528-11-0.004_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
48,bump_200-17-0.004_87.639_5.000_0_0_12,train,True,True,True,True,False,False,False
49,bump_351-17-0.008_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
50,bump_518-14-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
51,bump_392-20-0.005_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
52,bump_15-25-0.001_87.639_5.000_0_0_12,train,False,True,True,True,False,True,True
53,bump_532-24-0.002_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
54,bump_535-22-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
55,bump_430-24-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
56,bump_484-16-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
57,bump_328-19-0.004_87.639_5.000_0_0_12,test,False,False,False,False,False,True,True
58,bump_104-22-0.001_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
59,bump_224-16-0.007_87.639_5.000_0_0_12,train,True,True,True,True,False,False,True
60,bump_212-11-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
61,bump_549-19-0.008_87.639_5.000_0_0_12,train,True,True,True,True,False,False,True
62,bump_200-11-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
63,bump_509-21-0.003_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
64,bump_230-23-0.007_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
65,bump_242-11-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
66,bump_578-16-0.005_87.639_5.000_0_0_12,test,False,False,False,False,False,True,False
67,bump_486-17-0.007_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
68,bump_187-19-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
69,bump_273-16-0.001_87.639_5.000_0_0_12,train,False,True,True,True,False,True,True
70,bump_352-15-0.005_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
71,bump_376-13-0.002_87.639_5.000_0_0_12,train,True,True,True,True,False,False,True
72,bump_430-17-0.003_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
73,bump_31-17-0.006_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
74,bump_97-18-0.005_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
75,bump_462-16-0.003_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
76,bump_213-15-0.005_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
77,bump_143-18-0.003_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
78,bump_485-12-0.005_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
79,bump_197-19-0.004_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
80,bump_128-17-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
81,bump_30-21-0.002_87.639_5.000_0_0_12,train,False,False,False,True,True,True,True
82,bump_88-17-0.001_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
83,bump_208-25-0.008_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
84,bump_109-24-0.003_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
85,bump_333-17-0.007_87.639_5.000_0_0_12,train,True,True,True,True,False,False,True
